20:58:03 - INFO    	|    Train
21:02:17 - INFO    	|    -91.68385732046772
21:02:18 - INFO    	|    -100.86099798462477
21:02:20 - INFO    	|    -94.74697758864232
21:02:22 - INFO    	|    -79.67882127763727
21:02:24 - INFO    	|    -117.40576197054372
21:02:25 - INFO    	|    -138.78677598125057
21:02:26 - INFO    	|    -190.75095001327765
21:02:28 - INFO    	|    -270.05805820596925
21:02:30 - INFO    	|    -98.16141968909733
21:02:32 - INFO    	|    -227.0052679106856
21:02:34 - INFO    	|    -123.88201126226579
21:02:35 - INFO    	|    -92.10370986207846
21:02:37 - INFO    	|    -78.31860641369164
21:02:39 - INFO    	|    -330.6903118889477
21:02:40 - INFO    	|    -127.11857757304934
21:02:42 - INFO    	|    -132.73998913267422
21:02:43 - INFO    	|    -320.7692369643926
21:02:45 - INFO    	|    -361.27044183261154
21:02:47 - INFO    	|    -99.5737536146787
21:02:49 - INFO    	|    -215.6123608152388
21:02:51 - INFO    	|    -248.7675311515968
21:02:53 - INFO    	|    -118.92756420691407
21:02:54 - INFO    	|    -203.65588166063935
21:02:55 - INFO    	|    -85.73403487376045
21:02:57 - INFO    	|    -124.68357480562874
21:02:58 - INFO    	|    -286.92134037699145
21:03:01 - INFO    	|    -284.49429246537454
21:03:03 - INFO    	|    -188.4302002643741
21:03:05 - INFO    	|    -133.23475880642775
21:03:06 - INFO    	|    -154.85178140055967
21:03:08 - INFO    	|    -380.36125709662707
21:03:10 - INFO    	|    -61.49723591612404
21:03:11 - INFO    	|    -119.96269001988983
21:03:13 - INFO    	|    -157.39273768896336
21:03:15 - INFO    	|    -334.9280553590414
21:03:17 - INFO    	|    -141.09462482196432
21:03:18 - INFO    	|    -211.04263862566194
21:03:20 - INFO    	|    -139.09904143488214
21:03:22 - INFO    	|    -366.4049419897564
21:03:23 - INFO    	|    -71.20311366612867
21:03:25 - INFO    	|    -176.15390768822243
21:03:27 - INFO    	|    -173.99790835780806
21:03:29 - INFO    	|    -215.2226671397849
21:03:31 - INFO    	|    -115.9601849516967
21:03:33 - INFO    	|    -211.0803785145031
21:03:34 - INFO    	|    -134.07874705845074
21:03:37 - INFO    	|    -245.18882095505097
21:03:38 - INFO    	|    -147.1109982235177
21:03:41 - INFO    	|    -177.42216915060175
21:03:42 - INFO    	|    -276.03136855954176
21:03:44 - INFO    	|    -121.73932274360187
21:03:45 - INFO    	|    -178.3310658424436
21:03:47 - INFO    	|    -356.79497352280424
21:03:49 - INFO    	|    -322.3982364133608
21:03:51 - INFO    	|    -96.01803860319322
21:03:53 - INFO    	|    -191.1594973118813
21:03:54 - INFO    	|    -115.73209944376256
21:03:56 - INFO    	|    -156.8173219386966
21:03:58 - INFO    	|    -471.87509215425325
21:04:00 - INFO    	|    -454.6967844438578
21:04:02 - INFO    	|    -120.82468054327256
21:04:04 - INFO    	|    -301.38717158080374
21:04:06 - INFO    	|    -182.28544419655032
